"Date","34 m","40 m","47 m","56 m","66 m","78 m","92 m","110 m"
2005-09-23,9.81,8.18,5.5,5.9,5.2,3.32,4.65,5.14
2005-09-24,10.05,8.26,5.69,5.99,5.24,3.31,4.63,5.15
2005-09-25,10.14,8.24,5.62,6.08,5.29,3.32,4.68,5.21
2005-09-26,10.34,8.25,5.91,6.17,5.42,3.31,4.64,5.28
2005-09-27,10.52,8.93,6.41,6.36,5.49,3.32,4.67,5.25
2005-09-28,10.5,9.22,6.5,6.5,5.55,3.31,4.67,5.19
2005-09-29,10.72,8.94,6.42,6.58,5.65,3.28,4.65,5.18
2005-09-30,10.91,9.28,7.11,6.73,5.82,3.26,4.6,5.17
2005-10-01,10.8,9.69,7.19,6.85,5.85,3.26,4.64,5.18
2005-10-02,10.99,9.64,7.07,6.84,5.88,3.2,4.6,5.22
2005-10-03,11.05,9.73,7.1,6.84,5.9,3.19,4.58,5.2
2005-10-04,11.26,9.74,7.27,6.83,5.92,3.17,4.55,5.27
2005-10-05,11.2,10.08,7.91,6.93,5.96,3.18,4.53,5.22
2005-10-06,11.11,10.19,7.82,6.87,5.83,3.16,4.55,5.24
2005-10-07,11.12,10.17,7.84,6.84,5.73,3.14,4.46,5.14
2005-10-08,11.2,10.21,8.09,6.86,5.73,3.19,4.36,5
2005-10-09,11.04,10.36,8.14,6.94,5.77,3.26,4.31,4.85
2005-10-10,11.1,10.23,7.9,6.83,5.74,3.28,4.24,4.78
2005-10-11,11.06,10.17,7.74,6.81,5.74,3.32,4.18,4.67
2005-10-12,11.06,10.07,7.51,6.83,5.73,3.34,4.15,4.61
2005-10-13,11.41,9.94,7.48,6.9,5.82,3.33,4.13,4.68
2005-10-14,11.59,10.19,7.69,7.15,5.88,3.34,4.2,4.77
2005-10-15,11.96,10.18,7.79,7.24,5.96,3.35,4.25,4.96
2005-10-16,12.25,10.62,8.25,7.35,6.06,3.39,4.36,5.16
2005-10-17,12.35,11.39,8.7,7.62,6.07,3.41,4.41,5.1
2005-10-18,12.15,11.5,8.1,7.46,5.99,3.46,4.46,4.89
2005-10-19,12.01,10.88,7.27,7.36,5.97,3.46,4.43,4.78
2005-10-20,12.08,10,6.91,7.39,6.02,3.41,4.39,4.79
2005-10-21,12.48,10.42,7.22,7.41,6.14,3.44,4.43,4.82
2005-10-22,12.63,10.75,6.94,7.51,6.21,3.47,4.54,4.97
2005-10-23,12.43,10.22,6.59,7.56,6.29,3.5,4.66,5.29
2005-10-24,12.52,10.28,6.85,7.5,6.42,3.51,4.95,6.01
2005-10-25,12.66,11.08,7.08,7.58,6.54,3.57,5.42,6.69
2005-10-26,12.81,11.36,7.23,7.69,6.73,3.68,5.87,6.98
2005-10-27,12.29,11.76,8.59,7.89,6.9,3.66,5.94,7.04
2005-10-28,10.63,11.37,6.96,7.79,6.83,3.76,6.08,7.09
2005-10-29,10.8,10.08,6.52,7.72,6.95,3.69,5.85,6.81
2005-10-30,10.93,9.08,6.38,7.82,6.99,3.68,5.97,6.76
2005-10-31,11.43,8.97,6.65,7.89,7.04,3.68,6.05,6.86
2005-11-01,11.73,9.84,6.88,8.01,7.11,3.79,6.4,7.02
2005-11-02,11.74,10.05,6.6,8.1,7.12,3.96,6.56,7.28
2005-11-03,11.93,10.4,6.77,8.17,7.24,4.11,6.68,7.42
2005-11-04,11.64,10.76,6.67,8.28,7.35,4.36,6.81,7.61
2005-11-05,11.22,10.42,6.42,8.31,7.52,4.75,7.01,8.13
2005-11-06,11.53,10.96,7.07,8.36,7.66,4.9,7.19,8.41
2005-11-07,11.62,11.43,7.4,8.36,7.72,5.08,7.39,8.59
2005-11-08,11.56,11.83,8.35,8.37,7.74,5.11,7.34,8.35
2005-11-09,10.42,11.4,7.23,8.41,7.85,5.27,7.34,7.94
2005-11-10,10.54,10.51,6.69,8.12,7.67,5.28,7.14,7.79
2005-11-11,10.98,10.89,7.52,8.09,7.41,5.23,6.94,7.57
2005-11-12,10.52,10.95,7.21,8.29,7.62,5.39,6.96,7.48
2005-11-13,10.32,10.46,6.84,8.16,7.54,5.44,6.89,7.42
2005-11-14,10.13,9.63,6.68,8.28,7.67,5.5,6.83,7.38
2005-11-15,10.34,9.62,6.89,8.14,7.6,5.52,6.79,7.35
2005-11-16,10.34,9.86,6.86,8.03,7.44,5.61,6.89,7.49
2005-11-17,10.46,9.93,6.97,8.08,7.46,5.69,6.93,7.74
2005-11-18,10.71,10.35,7.39,7.92,7.38,5.69,6.92,7.72
2005-11-19,10.42,10.4,6.98,7.73,7.15,5.81,7.03,7.77
2005-11-20,10.3,10.34,7,7.7,7,5.84,6.98,7.69
2005-11-21,10.05,10.03,6.99,7.7,6.96,5.87,6.97,7.61
2005-11-22,10.08,9.91,7.05,7.44,6.76,5.88,6.94,7.6
2005-11-23,10.46,10.46,7.55,7.31,6.5,5.89,6.87,7.53
2005-11-24,10.14,10.53,7.81,7.69,6.76,5.97,6.94,7.37
2005-11-25,9.82,9.93,7.59,7.58,6.75,5.98,6.8,7.17
2005-11-26,9.71,9.43,7.62,7.68,6.84,6.02,6.81,7.13
2005-11-27,9.44,8.45,7.31,7.66,6.92,6.07,6.82,7.15
2005-11-28,9.53,8.14,7.27,7.54,6.99,6.1,6.84,7.2
2005-11-29,9.67,8.21,7.23,7.47,7.04,6.14,6.94,7.39
2005-11-30,9.67,8.21,7.18,7.48,7.14,6.21,7.04,7.67
2005-12-01,9.74,8.33,7.23,7.29,7.07,6.36,7.2,7.94
2005-12-02,9.77,8.49,7.28,7.3,7.02,6.55,7.43,8.23
